,2022-08-06 12:00,2022-08-06 23:00,2022-08-07 08:00,2022-08-07 13:00,2022-08-07 17:00,2022-08-07 18:00,2022-08-07 19:00,2022-08-07 21:00,2022-08-08 01:00,2022-08-08 06:00,2022-08-08 07:00,2022-08-08 08:00,2022-08-08 09:00,2022-08-08 10:00,2022-08-08 11:00,2022-08-08 12:00,2022-08-08 13:00,2022-08-08 14:00,2022-08-08 15:00,2022-08-08 16:00
10,,,,,,,,,,,,,,,,,,,唐山打人是别的地方没爆出来过还是你们那就容易出事感觉已经不太安全了,
11,,,,,,,,,,,,,,,,,,,朋友圈疯传唐山又双叒叕打人实则是枣庄的这没必要还有事情不管是哪里的都希望得到即使的处理,
12,,,,,,,,,,,,,,,,,,,唐山烧烤店被打女孩最新情况打人的几个人到底什么人感觉这个事件变得非常离奇也没有后续网传的沸沸扬扬到底真相是什么女孩们到底怎么样了,
13,,,,,,,,,,,,,,,,,,,唐山再现打人事件牛逼,
14,,,,,,,,,,,,,,,,,,,别压了我真的服了第几次了还压热搜缺不缺唐山打人事件,
15,,,,,,,,,,,,,,,,,,,唐山再现打人事件人受伤没热搜了快顶,
16,,,,,,,,,,,,,,,,,,,经过唐山打人事件后我就很少长时间登陆微博了只是偶尔想起会登陆后遗症吧也许这种憋屈的感觉会随着时间的流逝慢慢消退下去,
17,,,,,,,,,,,,,,,,,,,唐山再现打人事件唐山再现打人事件唐山再现打人事件还有人不知道吗,
18,,,,,,,,,,,,,,,,,,,唐山打人事件别压了,
19,,,,,,,,,,,,,,,,,,,唐山再现打人事件怎么又被压下来了,
20,,,,,,,,,,,,,,,,,,,唐山打人事件巷子里后续不信谣不传谣但是我还想说听说四个女孩被注销了户籍,
21,,,,,,,,,,,,,,,,,,,喷完就拉黑的江苏人跑到唐山打人也很厉害呢确实管不住锡山经济开发区,
22,,,,,,,,,,,,,,,,,,,唐山烧烤店打人案侦办情况会公布这边唐山事情没有结果隔壁台儿庄又出来事情这次可是露天的在大街上一条街的人都在看着那女的被打,
23,,,,,,,,,,,,,,,,,,,唐山打人不要靠近,
